Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,PRI_SCHOOL,PUB_SCHOOL
강남루덴스,OPST,202101,SS,61.47,98.34,63.0,799,4.0,8.5,4.25,3.85,4.5,,2099.0,2886.0,2230.0,1845.0,2156.0,,37.498031,127.033261,23,3,15,1,4,106,3,22,19,153,18,0,2
강남역센트럴푸르지오시티,OPST,201503,SS,44.27,63.65,52.0,799,2.65,4.4,3.1,2.7,3.85,2.7,1780.0,2429.0,1971.0,1716.0,2020.0,1716.0,37.497706,127.029001,33,2,9,1,4,115,1,26,13,113,14,0,2
역삼월드메르디앙,APT,200511,SS,102.65,104.5,104.0,232,15.5,17.0,16.5,7.9,8.0,8.0,4927.0,5404.0,5245.0,2511.0,2593.0,2543.0,37.492966,127.038472,8,0,6,2,4,20,2,11,12,30,15,0,1
경남,APT,200205,SS,110.85,112.71,112.0,384,14.9,18.5,14.95,4.5,8.5,8.4,4398.0,5460.0,4413.0,1328.0,2554.0,2479.0,37.500895,127.041695,19,1,15,1,4,61,1,25,12,108,17,0,1
예성아이라이프,OPST,200409,SS,45.27,45.27,45.0,799,2.1,2.2,2.15,,,,1543.0,1616.0,1579.0,,,,37.497575,127.030213,30,2,11,1,4,109,1,26,14,130,14,0,2
역삼골든베리힐,APT,200412,EN,140.46,140.46,140.0,289,18.0,18.0,18.0,10.0,10.0,10.0,4250.0,4250.0,4250.0,2361.0,2361.0,2361.0,37.504756,127.035617,12,1,9,0,4,44,1,9,9,90,17,0,0
리에바움,OPST,202010,EN,30.23,52.73,50.0,716,2.5,5.3,4.5,3.95,4.5,4.0,2755.0,3576.0,2975.0,2645.0,3036.0,2645.0,37.50464,127.044105,7,2,10,0,4,51,0,17,10,73,9,0,1
역삼역센트럴푸르지오시티,OPST,201904,EN,42.37,94.79,42.0,792,2.0,6.2,2.29,1.86,2.3,2.07,1574.0,2180.0,1802.0,1464.0,1810.0,1629.0,37.500804,127.040565,20,1,15,0,4,66,1,24,12,109,18,0,1
SK허브젠,OPST,200508,EN,90.16,96.37,90.0,649,6.5,6.8,6.5,4.3,4.5,4.4,2238.0,2388.0,2388.0,1481.0,1653.0,1616.0,37.493689,127.030965,16,1,7,1,4,53,2,13,14,85,13,0,2
한양럭스,APT,200309,EN,62.31,157.28,66.0,242,4.5,13.0,5.5,2.6,3.5,2.6,2399.0,2883.0,2755.0,1302.0,1866.0,1302.0,37.50427,127.034583,11,1,9,0,4,45,1,11,9,92,17,0,0
강남서해그랑블(주상복합),APT,201208,EN,77.84,113.16,94.0,370,8.8,15.0,9.0,6.8,7.9,,3165.0,4768.0,3165.0,2234.0,2630.0,,37.493134,127.039216,9,0,7,2,4,18,2,9,13,36,16,0,1
강남헤븐리치더써밋761,OPST,202104,EN,33.48,33.48,33.0,796,2.35,3.5,2.73,2.5,2.7,2.67,2354.0,3506.0,2730.0,2504.0,2705.0,2680.0,37.506721,127.032831,6,0,8,0,4,22,0,9,3,39,14,0,0
역삼노블루체언주,OPST,202108,EN,21.87,30,29.0,442,2.7,6.0,5.0,,,,4057.0,6840.0,5700.0,,,,37.50672,127.033124,6,0,8,0,4,21,0,8,3,41,14,0,0
역삼LG에클라트,OPST,200412,EN,53.43,69.75,55.0,703,1.9,2.9,1.95,2.05,2.4,2.1,1142.0,1389.0,1172.0,1150.0,1279.0,1262.0,37.49838,127.03483,20,1,13,1,4,88,4,24,21,135,18,0,2
강남역투웨니퍼스트,OPST,201905,EN,30.39,32.28,30.0,574,2.35,2.83,2.55,2.2,2.2,2.2,2590.0,3118.0,2810.0,2424.0,2424.0,2424.0,37.497475,127.030572,30,2,12,1,4,110,1,28,14,134,15,0,2
신일유토빌,OPST,200307,EN,60.43,111.84,60.0,623,2.0,4.0,2.0,1.5,4.3,1.5,1102.0,1363.0,1102.0,826.0,1281.0,826.0,37.498782,127.033466,17,1,16,1,4,102,3,23,17,152,18,0,2
루트원레지던스(도시형),APT,201212,EN,38.06,38.06,38.0,773,,,,2.48,2.48,2.48,,,,2157.0,2157.0,2157.0,37.504513,127.044589,7,2,10,0,4,54,0,17,10,73,9,0,1
디오빌역삼(주상복합),APT,200206,EN,39.58,112.01,39.0,966,2.9,15.3,3.2,2.7,7.0,2.8,2458.0,4516.0,2712.0,1815.0,3005.0,2373.0,37.501445,127.042887,15,0,15,1,4,54,1,22,13,109,17,0,1
프리빌리지(도시형),APT,201711,EN,26.64,66.13,66.0,249,3.75,7.0,7.0,3.2,3.2,,3506.0,4832.0,3506.0,4069.0,4069.0,,37.499907,127.041303,18,1,18,1,4,58,1,19,11,109,17,0,1
강남역센트럴푸르지오시티,OPST,201503,EN,44.27,63.65,52.0,799,2.65,4.4,3.1,2.7,3.85,2.7,1780.0,2429.0,1971.0,1716.0,2020.0,1716.0,37.497706,127.029001,33,2,9,1,4,115,1,26,13,113,14,0,2
노블레스,OPST,202012,NN,37.01,37.01,37.0,528,3.8,3.8,3.8,3.2,3.2,3.2,3395.0,3395.0,3395.0,2859.0,2859.0,2859.0,37.500516,127.033088,14,1,13,0,4,93,2,21,10,144,17,0,2
리에바움,OPST,202010,NN,30.23,52.73,50.0,716,2.5,5.3,4.5,3.95,4.5,4.0,2755.0,3576.0,2975.0,2645.0,3036.0,2645.0,37.50464,127.044105,7,2,10,0,4,51,0,17,10,73,9,0,1
목화밀라트,OPST,200408,NN,51.78,58.52,58.0,978,3.0,3.25,3.2,,,,1710.0,1945.0,1824.0,,,,37.498939,127.029506,34,2,12,1,4,111,1,27,12,128,14,0,2
역삼현대벤쳐텔,OPST,200106,NN,69.32,141.47,86.0,1092,2.3,5.3,2.8,,,,1026.0,1243.0,1076.0,,,,37.501675,127.035668,10,1,12,0,4,78,1,19,10,108,18,0,0
두꺼비,OPST,199010,NN,60.45,60.45,60.0,743,2.4,2.4,2.4,,,,1322.0,1322.0,1322.0,,,,37.502848,127.044758,13,2,15,0,4,56,0,19,13,83,9,0,1
역삼예명,APT,200112,NN,82.06,82.06,82.0,237,9.0,9.0,9.0,6.0,6.2,6.0,3628.0,3628.0,3628.0,2419.0,2499.0,2419.0,37.50499,127.03842,9,0,9,0,4,44,1,13,6,80,18,0,0
역삼역센트럴푸르지오시티,OPST,201904,NN,42.37,94.79,42.0,792,2.0,6.2,2.29,1.86,2.3,2.07,1574.0,2180.0,1802.0,1464.0,1810.0,1629.0,37.500804,127.040565,20,1,15,0,4,66,1,24,12,109,18,0,1
쌍용플래티넘밸류(주상복합),APT,200701,NN,106.43,146.15,106.0,640,17.0,28.0,17.0,8.2,10.3,8.35,4755.0,6340.0,5302.0,2276.0,2651.0,2604.0,37.495603,127.030341,27,2,8,1,4,86,1,24,16,120,14,0,2
신논현마에스트로,OPST,201312,NN,29.54,32.06,32.0,799,1.93,2.1,2.0,1.8,1.94,1.94,1994.0,2169.0,2066.0,2004.0,2052.0,2004.0,37.505963,127.030116,8,0,8,0,3,36,0,8,4,36,13,0,1
역삼푸르지오시티,OPST,201603,NN,49.84,70.88,49.0,799,2.3,4.4,2.54,3.0,3.0,,1552.0,2238.0,1714.0,1526.0,1526.0,,37.498204,127.03364,18,1,15,1,4,103,3,21,19,150,18,0,2
D&S리치빌,OPST,201304,NN,31.77,31.77,31.0,699,,,,1.8,1.97,1.89,,,,1919.0,2101.0,2010.0,37.503044,127.040028,11,1,13,0,4,59,1,26,10,98,18,0,1
역삼마에스트로,OPST,201209,NN,36.5,57.61,36.0,587,1.65,3.1,1.8,1.5,1.53,1.53,1450.0,1928.0,1653.0,1377.0,1405.0,1405.0,37.503242,127.040104,11,1,13,0,4,56,1,24,10,100,18,0,1
역삼SK허브블루,OPST,200410,NN,51.6,51.6,51.0,787,1.78,2.0,1.8,,,,1154.0,1296.0,1167.0,,,,37.494115,127.03131,19,1,7,1,4,61,2,14,14,91,13,0,2
한화진넥스빌(주상복합),APT,200101,NN,46.78,68.62,58.0,1045,3.1,5.6,4.7,2.95,3.5,3.5,2228.0,3192.0,2679.0,1875.0,1995.0,1995.0,37.502106,127.04436,15,0,15,0,4,54,1,22,13,100,10,0,1
성지하이츠1,OPST,199107,NN,67.44,77.09,67.0,1232,2.85,3.4,2.85,,,,1406.0,1460.0,1406.0,,,,37.503752,127.04521,13,2,15,0,4,57,0,21,13,79,9,0,1
강남서해그랑블(주상복합),APT,201208,NN,77.84,113.16,94.0,370,8.8,15.0,9.0,6.8,7.9,,3165.0,4768.0,3165.0,2234.0,2630.0,,37.493134,127.039216,9,0,7,2,4,18,2,9,13,36,16,0,1
대명벨리온(도시형),APT,201202,NN,22.71,46.69,27.0,248,2.0,2.6,2.05,1.9,2.0,1.9,1868.0,3005.0,2510.0,2326.0,3005.0,2326.0,37.497964,127.039165,18,1,12,1,4,58,3,18,18,114,17,0,2
이지마루역삼(주상복합),APT,201811,NN,31.96,34.71,31.0,520,4.7,5.0,4.9,3.75,3.75,3.75,4764.0,5332.0,5225.0,3995.0,3995.0,3995.0,37.502269,127.039118,14,1,14,0,4,72,1,26,12,113,18,0,1
강남헤븐리치더써밋761,OPST,202104,NN,33.48,33.48,33.0,796,2.35,3.5,2.73,2.5,2.7,2.67,2354.0,3506.0,2730.0,2504.0,2705.0,2680.0,37.506721,127.032831,6,0,8,0,4,22,0,9,3,39,14,0,0
역삼노블루체언주,OPST,202108,NN,21.87,30,29.0,442,2.7,6.0,5.0,,,,4057.0,6840.0,5700.0,,,,37.50672,127.033124,6,0,8,0,4,21,0,8,3,41,14,0,0
크레신타워2,OPST,200402,NN,47.17,65.08,47.0,808,1.87,2.8,2.0,1.9,1.9,1.9,1315.0,1547.0,1407.0,1336.0,1336.0,1336.0,37.498514,127.031524,30,3,14,1,4,117,1,27,17,153,17,0,2
풍성애뜨란(도시형),APT,201806,NN,31.64,33.37,31.0,213,5.8,6.0,5.8,3.8,3.8,3.8,6011.0,6185.0,6185.0,4052.0,4052.0,4052.0,37.496302,127.050619,17,0,13,1,4,8,2,4,9,21,7,0,2
빅토리아,OPST,199201,NN,55.26,66.63,55.0,0,2.4,2.95,2.4,,,,1443.0,1478.0,1443.0,,,,37.504355,127.04734,12,2,11,0,4,53,0,23,10,60,7,0,1
역삼LG에클라트,OPST,200412,NN,53.43,69.75,55.0,703,1.9,2.9,1.95,2.05,2.4,2.1,1142.0,1389.0,1172.0,1150.0,1279.0,1262.0,37.49838,127.03483,20,1,13,1,4,88,4,24,21,135,18,0,2
강남역투웨니퍼스트,OPST,201905,NN,30.39,32.28,30.0,574,2.35,2.83,2.55,2.2,2.2,2.2,2590.0,3118.0,2810.0,2424.0,2424.0,2424.0,37.497475,127.030572,30,2,12,1,4,110,1,28,14,134,15,0,2
우림루미아트(주상복합),APT,200303,NN,30.29,30.73,30.0,522,2.05,2.8,2.25,2.0,2.1,2.05,2259.0,3085.0,2479.0,2204.0,2314.0,2259.0,37.502193,127.043747,15,0,14,0,4,56,0,22,14,100,10,0,1
역삼프리마빌,APT,200309,NN,103.09,118.47,103.0,287,11.0,14.5,11.0,,,,3530.0,4205.0,3530.0,,,,37.497344,127.039399,13,1,11,2,4,52,2,15,20,98,17,0,2
더플레이스강남,OPST,202212,NN,47.58,53.12,47.0,567,8.5,10.0,8.8,,,,5302.0,6357.0,6190.0,,,,37.501887,127.042507,13,0,13,0,4,56,1,23,12,103,17,0,1
로얄빌리지,APT,200211,NN,81.7,151.85,151.0,292,6.5,12.0,12.0,7.5,8.0,7.5,2627.0,2653.0,2627.0,1642.0,1751.0,1642.0,37.501494,127.03454,10,1,12,0,4,76,1,23,8,115,18,0,2
신일유토빌,OPST,200307,NN,60.43,111.84,60.0,623,2.0,4.0,2.0,1.5,4.3,1.5,1102.0,1363.0,1102.0,826.0,1281.0,826.0,37.498782,127.033466,17,1,16,1,4,102,3,23,17,152,18,0,2
역삼트레벨,APT,200204,NN,33.48,35.93,33.0,241,5.9,6.3,6.0,3.3,3.3,3.3,5667.0,6311.0,6011.0,3306.0,3306.0,3306.0,37.496162,127.050418,17,0,13,1,4,9,2,4,9,21,7,0,2
디오빌역삼(주상복합),APT,200206,NN,39.58,112.01,39.0,966,2.9,15.3,3.2,2.7,7.0,2.8,2458.0,4516.0,2712.0,1815.0,3005.0,2373.0,37.501445,127.042887,15,0,15,1,4,54,1,22,13,109,17,0,1
쌍용플래티넘밸류,OPST,200701,NN,86.16,197.52,101.0,640,5.75,15.0,5.8,,,,1898.0,2755.0,1898.0,,,,37.495468,127.030388,27,2,8,1,4,84,2,23,16,119,14,0,2
강남역효성해링턴타워더퍼스트,OPST,201406,NN,45.49,53.57,51.0,799,2.3,3.1,2.75,2.0,2.1,,1690.0,2009.0,1783.0,1469.0,1543.0,,37.496987,127.02995,31,2,9,1,4,107,1,28,14,123,14,0,2
더포엠역삼,OPST,202309,NN,47.47,59.4,50.0,798,7.9,9.8,9.8,6.5,6.5,,5323.0,6479.0,6479.0,4572.0,4572.0,,37.502628,127.039524,13,1,13,0,4,68,1,26,9,107,18,0,1
삼환아르누보,OPST,200312,NN,47.01,47.01,47.0,346,2.2,2.2,2.2,,,,1547.0,1547.0,1547.0,,,,37.49594,127.03987,11,0,11,2,4,36,2,15,15,88,17,0,2
한라클래식,OPST,199910,NN,62.82,125.64,62.0,989,2.55,6.8,2.75,,,,1360.0,1900.0,1466.0,,,,37.497162,127.030385,30,2,10,1,4,111,1,26,14,133,14,0,2
